Restaurant ID,Restaurant Name,Country Code,City,Address,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating text,Votes
6317637,Le Petit Souffle,162,Makati City,Century City Mall Poblacion Makati City,French Japanese Desserts,1100,Botswana Pula(P),Yes,No,No,3,4.8,Excellent,314
6304287,Izakaya Kikufuji,162,Makati City,Little Tokyo Legaspi Village Makati City,Japanese,1200,Botswana Pula(P),Yes,No,No,3,4.5,Excellent,591
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,Edsa Shangri-La Ortigas Mandaluyong City,Seafood Asian Filipino Indian,4000,Botswana Pula(P),Yes,No,No,4,4.4,Very Good,270
6318506,Ooma,162,Mandaluyong City,SM Megamall Ortigas Mandaluyong City,Japanese Sushi,1500,Botswana Pula(P),No,No,No,4,4.9,Excellent,365
6314302,Sambo Kojin,162,Mandaluyong City,SM Megamall Ortigas Mandaluyong City,Japanese Korean,1500,Botswana Pula(P),Yes,No,No,4,4.8,Excellent,229
18189371,Din Tai Fung,162,Mandaluyong City,SM Megamall Ortigas Mandaluyong City,Chinese,1000,Botswana Pula(P),No,No,No,3,4.4,Very Good,336
6300781,Buffet 101,162,Pasay City,SM by the Bay Mall of Asia Complex Pasay City,Asian European,2000,Botswana Pula(P),Yes,No,No,4,4,Very Good,520
6301290,Vikings,162,Pasay City,SM by the Bay Mall of Asia Complex Pasay City,Seafood Filipino Asian European,2000,Botswana Pula(P),Yes,No,No,4,4.2,Very Good,677
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,Sofitel Philippine Plaza Manila Pasay City,European Asian Indian,6000,Botswana Pula(P),Yes,No,No,4,4.9,Excellent,621
6314987,Locavore,162,Pasig City,Kapitolyo,Filipino,1100,Botswana Pula(P),Yes,No,No,3,4.8,Excellent,532
6309903,Silantro Fil-Mex,162,Pasig City,Kapitolyo,Filipino Mexican,800,Botswana Pula(P),No,No,No,3,4.9,Excellent,1070
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,Kapitolyo,American Ice Cream Desserts,900,Botswana Pula(P),Yes,No,No,3,4.2,Very Good,488
6318433,Silantro Fil-Mex,162,Quezon City,UP Town Center Diliman Quezon City,Filipino Mexican,800,Botswana Pula(P),No,No,No,3,4.8,Excellent,294
6310470,Guevarra's,162,San Juan City,Addition Hills,Filipino,1000,Botswana Pula(P),Yes,No,No,3,4.2,Very Good,458
6314605,Sodam Korean Restaurant,162,San Juan City,Little Baguio,Korean,700,Botswana Pula(P),No,No,No,3,4.3,Very Good,223
18185059,Cafe Arabelle,162,Santa Rosa,Nuvali Don Jose Santa Rosa,Cafe American Italian Filipino,800,Botswana Pula(P),No,No,No,3,3.6,Good,29
18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,Solenad 3 Don Jose Santa Rosa,Italian Pizza,850,Botswana Pula(P),No,No,No,3,4,Very Good,72
6318213,Balay Dako,162,Tagaytay City,Tagaytay City,Filipino,1200,Botswana Pula(P),Yes,No,No,3,4.5,Excellent,211
18255654,Hobing Korean Dessert Cafe,162,Taguig City,BGC Stopover Pavillion Bonifacio Global City,Cafe Korean Desserts,600,Botswana Pula(P),No,No,No,2,4.5,Excellent,118
